Count,Summary,
1,"Violation of the Georgia RICO Act. This count alleges that the defendants participated in a criminal enterprise that engaged in a pattern of racketeering activity, namely, solicitation of violation of oath by public officer, false statements and writings, impersonating a public officer, forgery in the first degree, and filing false documents.",
2,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Secretary of State Brad Raffensperger to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
3,False statements and writings. This count alleges that the defendants knowingly and willfully made false statements or writings in connection with a matter within the jurisdiction of a department or agency of state government or of a political subdivision thereof.,
4,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Governor Brian Kemp to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
5,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Attorney General Christopher Carr to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
6,"Impersonating a public officer. This count alleges that the defendants falsely pretended to be an officer or employee or agent or contractor or subcontractor or consultant or advisor or representative or volunteer or intern or other person acting on behalf or under authority of a department or agency of state government or political subdivision thereof, with intent to mislead another into believing that he is such an officer or employee or agent or contractor or subcontractor or consultant or advisor or representative or volunteer or intern.",
7,Conspiracy to commit impersonating a public officer. This count alleges that the defendants conspired with each other to commit the offense of impersonating a public officer.,
8,"Forgery in the first degree. This count alleges that the defendants knowingly made, altered, possessed, uttered, delivered, published, disseminated, transmitted, transferred, conveyed, sold, offered for sale, purchased, procured, requested, solicited, proposed, agreed to make, agreed to alter, agreed to possess, agreed to utter, agreed to deliver, agreed to publish, agreed to disseminate, agreed to transmit, agreed to transfer,",
9,"Forgery in the first degree. This count alleges that the defendants knowingly made, altered, possessed, uttered, delivered, published, disseminated, transmitted, transferred, conveyed, sold, offered for sale, purchased, procured, requested, solicited, proposed, agreed to make, agreed to alter, agreed to possess, agreed to utter, agreed to deliver, agreed to publish, agreed to disseminate, agreed to transmit, agreed to transfer,",
10,Conspiracy to commit forgery in the first degree. This count alleges that the defendants conspired with each other to commit the offense of forgery in the first degree.,
11,False statements and writings. This count alleges that the defendants knowingly and willfully made false statements or writings in connection with a matter within the jurisdiction of a department or agency of state government or of a political subdivision thereof.,
12,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Lieutenant Governor Geoff Duncan to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
13,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited Georgia Speaker of the House David Ralston to violate his oath of office by failing to faithfully execute the duties of his office and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
14,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia General Assembly to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
15,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the U.S. Congress from Georgia to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
16,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the U.S. Senate from Georgia to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia,
17,Conspiracy to commit false statements and writings. This count alleges that the defendants conspired with each other to commit the offense of false statements and writings.,
18,"Filing false documents. This count alleges that the defendants knowingly filed, registered, or recorded false documents with a department or agency of state government or of a political subdivision thereof.",
19,Conspiracy to commit filing false documents. This count alleges that the defendants conspired with each other to commit the offense of filing false documents.,
20,"Influencing witnesses. This count alleges that the defendants unlawfully and knowingly communicated, directly or indirectly, with a person who is or may be a witness, with intent to deter such person from testifying freely, fully, and truthfully to any matter pending in any court, or before any grand jury, agency, or any officer authorized by law to conduct any inquiry or investigation.",
21,Conspiracy to commit influencing witnesses. This count alleges that the defendants conspired with each other to commit the offense of influencing witnesses.,
22,Perjury. This count alleges that the defendants knowingly and willfully made a false statement material to the issue or point in question in a judicial proceeding in which they were lawfully required to be sworn as witnesses.,
23,Conspiracy to commit perjury. This count alleges that the defendants conspired with each other to commit the offense of perjury.,
24,False swearing. This count alleges that the defendants knowingly and willfully made a false statement material to the issue or point in question in an official proceeding in which they were lawfully required to be sworn as witnesses.,
25,Conspiracy to commit false swearing. This count alleges that the defendants conspired with each other to commit the offense of false swearing.,
26,Subornation of perjury. This count alleges that the defendants procured another person to knowingly and willfully make a false statement material to the issue or point in question in a judicial proceeding in which such person was lawfully required to be sworn as a witness.,
27,Conspiracy to commit subornation of perjury. This count alleges that the defendants conspired with each other to commit the offense of subornation of perjury.,
28,Subornation of false swearing. This count alleges that the defendants procured another person to knowingly and willfully make a false statement material to the issue or point in question in an official proceeding in which such person was lawfully required to be sworn as a witness.,
29,Conspiracy to commit subornation of false swearing. This count alleges that the defendants conspired with each other to commit the offense of subornation of false swearing.,
30,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia State Election Board to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
31,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia State Board of Pardons and Paroles to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
32,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia Supreme Court to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
33,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia Court of Appeals to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
34,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia Supreme Court to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
35,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Georgia Court of Appeals to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
36,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Superior Court Judges in Fulton County to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
37,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the State Court Judges in Fulton County to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
38,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Magistrate Court Judges in Fulton County to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
39,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Probate Court Judges in Fulton County to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
40,Solicitation of violation of oath by public officer. This count alleges that the defendants solicited members of the Juvenile Court Judges in Fulton County to violate their oaths of office by failing to faithfully execute the duties of their offices and by failing to uphold and defend the Constitution of the United States and the Constitution of Georgia.,
41,"Conspiracy to defraud a political subdivision. This count alleges that the defendants conspired with each other to obtain property or services from a political subdivision, namely, Fulton County, by means of false or fraudulent pretenses, representations, or promises.",
